gameID,visitors,home,gameDate,winner
20231010NSH@TB,NSH,TB,2023-10-10,TB
20231010CHI@PIT,CHI,PIT,2023-10-10,CHI
20231010SEA@VGK,SEA,VGK,2023-10-10,LV
20231011OTT@CAR,OTT,CAR,2023-10-11,CAR
20231011MON@TOR,MON,TOR,2023-10-11,TOR
20231011CHI@BOS,CHI,BOS,2023-10-11,BOS
20231011WPG@CGY,WPG,CGY,2023-10-11,CGY
20231011COL@LA,COL,LA,2023-10-11,COL
20231011EDM@VAN,EDM,VAN,2023-10-11,VAN
20231012NYR@BUF,NYR,BUF,2023-10-12,NYR
20231012PHI@CLB,PHI,CLB,2023-10-12,PHI
20231012DET@NJ,DET,NJ,2023-10-12,NJ
20231012STL@DAL,STL,DAL,2023-10-12,DAL
20231012FLA@MIN,FLA,MIN,2023-10-12,MIN
20231012SEA@NSH,SEA,NSH,2023-10-12,NSH
20231012VGK@SJ,VGK,SJ,2023-10-12,LV
20231013ARI@NJ,ARI,NJ,2023-10-13,ARI
20231013PIT@WAS,PIT,WAS,2023-10-13,PIT
20231014PHI@OTT,PHI,OTT,2023-10-14,OTT
20231014FLA@WPG,FLA,WPG,2023-10-14,WPG
20231014NSH@BOS,NSH,BOS,2023-10-14,BOS
20231014NYR@CLB,NYR,CLB,2023-10-14,CLB
20231014TB@DET,TB,DET,2023-10-14,DET
20231014CHI@MON,CHI,MON,2023-10-14,MON
20231014CGY@PIT,CGY,PIT,2023-10-14,PIT
20231014MIN@TOR,MIN,TOR,2023-10-14,TOR
20231014BUF@NYI,BUF,NYI,2023-10-14,NYI
20231014SEA@STL,SEA,STL,2023-10-14,STL
20231014VAN@EDM,VAN,EDM,2023-10-14,VAN
20231014COL@SJ,COL,SJ,2023-10-14,COL
20231014ANA@VGK,ANA,VGK,2023-10-14,LV
20231014CAR@LA,CAR,LA,2023-10-14,CAR
20231015TB@OTT,TB,OTT,2023-10-15,OTT
20231015CAR@ANA,CAR,ANA,2023-10-15,ANA
20231016DET@CLB,DET,CLB,2023-10-16,DET
20231016FLA@NJ,FLA,NJ,2023-10-16,FLA
20231016ARI@NYR,ARI,NYR,2023-10-16,NYR
20231016CHI@TOR,CHI,TOR,2023-10-16,CHI
20231016CGY@WAS,CGY,WAS,2023-10-16,WAS
20231017VAN@PHI,VAN,PHI,2023-10-17,PHI
20231017MIN@MON,MIN,MON,2023-10-17,MIN
20231017TB@BUF,TB,BUF,2023-10-17,BUF
20231017ARI@NYI,ARI,NYI,2023-10-17,NYI
20231017EDM@NSH,EDM,NSH,2023-10-17,EDM
20231017LA@WPG,LA,WPG,2023-10-17,LA
20231017COL@SEA,COL,SEA,2023-10-17,COL
20231017CAR@SJ,CAR,SJ,2023-10-17,CAR
20231017DAL@VGK,DAL,VGK,2023-10-17,LV
20231018WAS@OTT,WAS,OTT,2023-10-18,OTT
20231018PIT@DET,PIT,DET,2023-10-18,DET
20231019CGY@BUF,CGY,BUF,2023-10-19,CGY
20231019TOR@FLA,TOR,FLA,2023-10-19,FLA
20231019NSH@NYR,NSH,NYR,2023-10-19,NSH
20231019VAN@TB,VAN,TB,2023-10-19,TB
20231019EDM@PHI,EDM,PHI,2023-10-19,PHI
20231019LA@MIN,LA,MIN,2023-10-19,LA
20231019ARI@STL,ARI,STL,2023-10-19,ARI
20231019VGK@WPG,VGK,WPG,2023-10-19,LV
20231019DAL@ANA,DAL,ANA,2023-10-19,DAL
20231019CAR@SEA,CAR,SEA,2023-10-19,SEA
20231019CHI@COL,CHI,COL,2023-10-19,COL
20231019BOS@SJ,BOS,SJ,2023-10-19,BOS
20231020CGY@CLB,CGY,CLB,2023-10-20,CLB
20231020NJ@NYI,NJ,NYI,2023-10-20,NJ
20231021DET@OTT,DET,OTT,2023-10-21,DET
20231021ANA@ARI,ANA,ARI,2023-10-21,ARI
20231021NYI@BUF,NYI,BUF,2023-10-21,BUF
20231021VAN@FLA,VAN,FLA,2023-10-21,VAN
20231021WAS@MON,WAS,MON,2023-10-21,MON
20231021TOR@TB,TOR,TB,2023-10-21,TOR
20231021PHI@DAL,PHI,DAL,2023-10-21,DAL
20231021VGK@CHI,VGK,CHI,2023-10-21,LV
20231021CLB@MIN,CLB,MIN,2023-10-21,CLB
20231021SJ@NSH,SJ,NSH,2023-10-21,NSH
20231021PIT@STL,PIT,STL,2023-10-21,STL
20231021CAR@COL,CAR,COL,2023-10-21,COL
20231021WPG@EDM,WPG,EDM,2023-10-21,WPG
20231021NYR@SEA,NYR,SEA,2023-10-21,NYR
20231021BOS@LA,BOS,LA,2023-10-21,BOS
20231022CGY@DET,CGY,DET,2023-10-22,DET
20231022BOS@ANA,BOS,ANA,2023-10-22,BOS
20231023MON@BUF,MON,BUF,2023-10-23,MON
20231024TOR@WAS,TOR,WAS,2023-10-24,TOR
20231024BUF@OTT,BUF,OTT,2023-10-24,BUF
20231024CAR@TB,CAR,TB,2023-10-24,TB
20231024NJ@MON,NJ,MON,2023-10-24,NJ
20231024DAL@PIT,DAL,PIT,2023-10-24,DAL
20231024SJ@FLA,SJ,FLA,2023-10-24,FLA
20231024COL@NYI,COL,NYI,2023-10-24,COL
20231024SEA@DET,SEA,DET,2023-10-24,SEA
20231024ANA@CLB,ANA,CLB,2023-10-24,ANA
20231024BOS@CHI,BOS,CHI,2023-10-24,BOS
20231024STL@WPG,STL,WPG,2023-10-24,WPG
20231024EDM@MIN,EDM,MIN,2023-10-24,MIN
20231024VAN@NSH,VAN,NSH,2023-10-24,VAN
20231024NYR@CGY,NYR,CGY,2023-10-24,NYR
20231024ARI@LA,ARI,LA,2023-10-24,LA
20231024PHI@VGK,PHI,VGK,2023-10-24,LV
20231025WAS@NJ,WAS,NJ,2023-10-25,WAS
20231026ANA@BOS,ANA,BOS,2023-10-26,ANA
20231026SEA@CAR,SEA,CAR,2023-10-26,CAR
20231026WPG@DET,WPG,DET,2023-10-26,WPG
20231026CLB@MON,CLB,MON,2023-10-26,MON
20231026COL@PIT,COL,PIT,2023-10-26,PIT
20231026SJ@TB,SJ,TB,2023-10-26,TB
20231026MIN@PHI,MIN,PHI,2023-10-26,PHI
20231026OTT@NYI,OTT,NYI,2023-10-26,NYI
20231026TOR@DAL,TOR,DAL,2023-10-26,TOR
20231026STL@CGY,STL,CGY,2023-10-26,STL
20231026NYR@EDM,NYR,EDM,2023-10-26,NYR
20231027CHI@VGK,CHI,VGK,2023-10-27,CHI
20231027SJ@CAR,SJ,CAR,2023-10-27,CAR
20231027BUF@NJ,BUF,NJ,2023-10-27,NJ
20231027MIN@WAS,MIN,WAS,2023-10-27,WAS
20231027LA@ARI,LA,ARI,2023-10-27,LA
20231027STL@VAN,STL,VAN,2023-10-27,VAN
