goalID,teamID,period,goalTime,goalDate,scorer,gameID,assist1,assist2,seconds
2023102817:00PHI11,PHI,3RD,17:00,2023-10-28,Joel Farabee,20231028ANA@PHI,Bobby Brink,Noah  Cates,3420
2023102811:12ANA10,ANA,3RD,11:12,2023-10-28,Frank Vatrano,20231028ANA@PHI,Adam Henrique,None,3072
2023102809:51PHI9,PHI,3RD,09:51,2023-10-28,Travis Konecny,20231028ANA@PHI,Sean Couturier,Bobby Brink,2991
2023102803:14ANA8,ANA,3RD,03:14,2023-10-28,Brett Leason,20231028ANA@PHI,Sam Carrick,Ross Johnston,2594
2023102802:42ANA7,ANA,3RD,02:42,2023-10-28,Trevor Zegras,20231028ANA@PHI,Ryan Strome,None,2562
2023102812:35PHI6,PHI,2ND,12:35,2023-10-28,Travis Konecny,20231028ANA@PHI,Sean Walker,Scott Laughton,1955
2023102811:49PHI5,PHI,2ND,11:49,2023-10-28,Cam Atkinson,20231028ANA@PHI,Owen Tippett,Cam York,1909
2023102809:30ANA4,ANA,2ND,09:30,2023-10-28,Adam Henrique,20231028ANA@PHI,None,None,1770
2023102806:58ANA3,ANA,2ND,06:58,2023-10-28,Frank Vatrano,20231028ANA@PHI,None,None,1618
2023102815:20ANA2,ANA,1ST,15:20,2023-10-28,Frank Vatrano,20231028ANA@PHI,Cam Fowler,Mason McTavish,920
2023102858.0ANA1,ANA,1ST,00:58,2023-10-28,Ryan Strome,20231028ANA@PHI,Mason McTavish,None,58
2023102814:08FLA5,FLA,3RD,14:08,2023-10-28,Nick Cousins,20231028SEA@FLA,Josh Mahura,Dmitry Kulikov,3248
2023102809:04FLA4,FLA,2ND,09:04,2023-10-28,Matthew Tkachuk,20231028SEA@FLA,Dmitry Kulikov,Niko Mikkola,1744
2023102808:53FLA3,FLA,2ND,08:53,2023-10-28,Gustav Forsling,20231028SEA@FLA,Anton Lundell,Carter Verhaeghe,1733
2023102807:34SEA2,SEA,2ND,07:34,2023-10-28,Eeli Tolvanen,20231028SEA@FLA,Jaden Schwartz,Will Borgen,1654
2023102807:58SEA1,SEA,1ST,07:58,2023-10-28,Jared McCann,20231028SEA@FLA,Yanni Gourde,Will Borgen,478
2023102817:41BOS5,BOS,3RD,17:41,2023-10-28,David Pastrnak,20231028DET@BOS,None,None,3461
2023102811:19BOS4,BOS,3RD,11:19,2023-10-28,David Pastrnak,20231028DET@BOS,None,None,3079
2023102806:40DET3,DET,3RD,06:40,2023-10-28,Joseph Veleno,20231028DET@BOS,Daniel Sprong,None,2800
2023102814:36BOS2,BOS,1ST,14:36,2023-10-28,Charlie McAvoy,20231028DET@BOS,None,None,876
2023102810:33BOS1,BOS,1ST,10:33,2023-10-28,Pavel Zacha,20231028DET@BOS,None,None,633
2023102816:39NYI2,NYI,3RD,16:39,2023-10-28,Matt Martin,20231028NYI@CLB,Casey Cizikas,None,3399
2023102815:45NYI1,NYI,1ST,15:45,2023-10-28,Kyle Palmieri,20231028NYI@CLB,Pierre Engvall,Sebastian Aho,945
2023102805:00MON7,MON,SHO,05:00,2023-10-28,Nick Suzuki,20231028WPG@MON,None,None,4200
2023102801:54MON6,MON,3RD,01:54,2023-10-28,Joel Armia,20231028WPG@MON,Kaiden Guhle,None,2514
2023102808:23MON5,MON,2ND,08:23,2023-10-28,Sean Monahan,20231028WPG@MON,Nick Suzuki,Mike Matheson,1703
2023102833.0WPG4,WPG,2ND,00:33,2023-10-28,Nino Niederreiter,20231028WPG@MON,Mason Appleton,None,1233
2023102815.0WPG3,WPG,2ND,00:15,2023-10-28,Adam Lowry,20231028WPG@MON,Nino Niederreiter,Mason Appleton,1215
2023102805:05MON2,MON,1ST,05:05,2023-10-28,Justin Barron,20231028WPG@MON,Rafael Harvey-Pinard,Kaiden Guhle,305
2023102804:28WPG1,WPG,1ST,04:28,2023-10-28,Adam Lowry,20231028WPG@MON,None,None,268
2023102802:13NSH5,NSH,OVE,02:13,2023-10-28,Roman Josi,20231028TOR@NSH,Luke Evangelista,Tommy Novak,3733
2023102815:08NSH4,NSH,2ND,15:08,2023-10-28,Ryan O'Reilly,20231028TOR@NSH,Filip Forsberg,Luke Evangelista,2108
2023102812:46TOR3,TOR,2ND,12:46,2023-10-28,Mark Giordano,20231028TOR@NSH,David Kampf,None,1966
2023102815:05NSH2,NSH,1ST,15:05,2023-10-28,Ryan O'Reilly,20231028TOR@NSH,Roman Josi,Filip Forsberg,905
2023102813:32TOR1,TOR,1ST,13:32,2023-10-28,William Nylander,20231028TOR@NSH,Auston Matthews,Mitchell Marner,812
2023102819:26PIT7,PIT,3RD,19:26,2023-10-28,Jake Guentzel,20231028OTT@PIT,Sidney Crosby,Chad Ruhwedel,3566
2023102813:38OTT6,OTT,3RD,13:38,2023-10-28,Drake Batherson,20231028OTT@PIT,Vladimir Tarasenko,None,3218
2023102813:07OTT5,OTT,3RD,13:07,2023-10-28,Brady Tkachuk,20231028OTT@PIT,Tim Stutzle,Travis Hamonic,3187
2023102817:34PIT4,PIT,2ND,17:34,2023-10-28,Sidney Crosby,20231028OTT@PIT,Bryan Rust,Kris Letang,2254
2023102805:28OTT3,OTT,2ND,05:28,2023-10-28,Dominik Kubalik,20231028OTT@PIT,Ridly Greig,Mathieu Joseph,1528
2023102814:14OTT2,OTT,1ST,14:14,2023-10-28,Brady Tkachuk,20231028OTT@PIT,Claude Giroux,Tim Stutzle,854
2023102804:24OTT1,OTT,1ST,04:24,2023-10-28,Ridly Greig,20231028OTT@PIT,Claude Giroux,Jakob Chychrun,264
2023102803:48NYR7,NYR,OVE,03:48,2023-10-28,K'Andre Miller,20231028NYR@VAN,Chris Kreider,None,3828
2023102815:42VAN6,VAN,3RD,15:42,2023-10-28,Carson Soucy,20231028NYR@VAN,Filip Hronek,Anthony Beauvillier,3342
2023102813:24NYR5,NYR,3RD,13:24,2023-10-28,Mika Zibanejad,20231028NYR@VAN,Adam Fox,None,3204
2023102812:21NYR4,NYR,3RD,12:21,2023-10-28,Adam Fox,20231028NYR@VAN,Artemi Panarin,Mika Zibanejad,3141
2023102809:06VAN3,VAN,3RD,09:06,2023-10-28,Tyler Myers,20231028NYR@VAN,None,None,2946
2023102815:57VAN2,VAN,2ND,15:57,2023-10-28,J.T. Miller,20231028NYR@VAN,Filip Hronek,Elias Pettersson,2157
2023102809:18NYR1,NYR,1ST,09:18,2023-10-28,Artemi Panarin,20231028NYR@VAN,Vincent Trocheck,Mika Zibanejad,558
2023102916:52BUF4,BUF,3RD,16:52,2023-10-29,Rasmus Dahlin,20231029COL@BUF,Tage Thompson,None,3412
2023102908:16BUF3,BUF,2ND,08:16,2023-10-29,Tyson Jost,20231029COL@BUF,Alex Tuch,Owen Power,1696
2023102901:39BUF2,BUF,2ND,01:39,2023-10-29,Casey Mittelstadt,20231029COL@BUF,Jeff Skinner,Henri Jokiharju,1299
2023102910:32BUF1,BUF,1ST,10:32,2023-10-29,John-Jason Peterka,20231029COL@BUF,Jeff Skinner,None,632
2023102915:17MIN7,MIN,3RD,15:17,2023-10-29,Jacob Middleton,20231029MIN@NJ,Pat Maroon,Marcus Foligno,3317
2023102916:39NJ6,NJ,2ND,16:39,2023-10-29,Jesper Bratt,20231029MIN@NJ,Timo Meier,Luke Hughes,2199
2023102906:54NJ5,NJ,2ND,06:54,2023-10-29,Erik Haula,20231029MIN@NJ,None,None,1614
2023102906:10NJ4,NJ,2ND,06:10,2023-10-29,Tyler Toffoli,20231029MIN@NJ,Jesper Bratt,Luke Hughes,1570
2023102902:31MIN3,MIN,2ND,02:31,2023-10-29,Ryan Hartman,20231029MIN@NJ,Calen Addison,Joel Eriksson Ek,1351
2023102914:53MIN2,MIN,1ST,14:53,2023-10-29,Pat Maroon,20231029MIN@NJ,Jonas Brodin,Brock Faber,893
2023102906:13NJ1,NJ,1ST,06:13,2023-10-29,Jesper Bratt,20231029MIN@NJ,John Marino,Kevin Bahl,373
2023102919:02WAS4,WAS,3RD,19:02,2023-10-29,Evgeny Kuznetsov,20231029SJ@WAS,Alex Ovechkin,John Carlson,3542
2023102915:15WAS3,WAS,3RD,15:15,2023-10-29,Tom Wilson,20231029SJ@WAS,Alex Ovechkin,John Carlson,3315
2023102902:18WAS2,WAS,3RD,02:18,2023-10-29,Dylan Strome,20231029SJ@WAS,Nick Jensen,Hardy Haman Aktell,2538
2023102911:40SJ1,SJ,1ST,11:40,2023-10-29,Luke Kunin,20231029SJ@WAS,Ty Emberson,Mario Ferraro,700
2023102919:13EDM7,EDM,3RD,19:13,2023-10-29,Evander Kane,20231029CGY@EDM,Derek Ryan,None,3553
2023102906:16EDM6,EDM,3RD,06:16,2023-10-29,Vincent Desharnais,20231029CGY@EDM,Evander Kane,Zach Hyman,2776
2023102911:28CGY5,CGY,2ND,11:28,2023-10-29,A.J. Greer,20231029CGY@EDM,MacKenzie Weegar,Jacob Markstrom,1888
2023102916:06EDM4,EDM,1ST,16:06,2023-10-29,Evan Bouchard,20231029CGY@EDM,Leon Draisaitl,Connor McDavid,966
2023102914:55CGY3,CGY,1ST,14:55,2023-10-29,Nazem Kadri,20231029CGY@EDM,MacKenzie Weegar,Jonathan Huberdeau,895
2023102909:38EDM2,EDM,1ST,09:38,2023-10-29,Zach Hyman,20231029CGY@EDM,Leon Draisaitl,None,578
2023102904:19EDM1,EDM,1ST,04:19,2023-10-29,Brett Kulak,20231029CGY@EDM,Evander Kane,Ryan Nugent-Hopkins,259
2023103016:13CAR5,CAR,3RD,16:13,2023-10-30,Teuvo Teravainen,20231030CAR@PHI,Michael Bunting,Jesperi Kotkaniemi,3373
2023103009:02CAR4,CAR,2ND,09:02,2023-10-30,Michael Bunting,20231030CAR@PHI,Stefan Noesen,None,1742
2023103018:23PHI3,PHI,1ST,18:23,2023-10-30,Garnet Hathaway,20231030CAR@PHI,Nicolas Deslauriers,Scott Laughton,1103
2023103015:09PHI2,PHI,1ST,15:09,2023-10-30,Owen Tippett,20231030CAR@PHI,Sean Couturier,None,909
2023103003:11CAR1,CAR,1ST,03:11,2023-10-30,Stefan Noesen,20231030CAR@PHI,Andrei Svechnikov,Dmitry Orlov,191
2023103003:36BOS5,BOS,OVE,03:36,2023-10-30,Pavel Zacha,20231030FLA@BOS,None,None,3816
2023103007:20BOS4,BOS,3RD,07:20,2023-10-30,Charlie McAvoy,20231030FLA@BOS,David Pastrnak,Pavel Zacha,2840
2023103003:38BOS3,BOS,2ND,03:38,2023-10-30,Brad Marchand,20231030FLA@BOS,Jake DeBrusk,Charlie Coyle,1418
2023103015:08FLA2,FLA,1ST,15:08,2023-10-30,Sam Reinhart,20231030FLA@BOS,Aleksander Barkov,None,908
2023103006:13FLA1,FLA,1ST,06:13,2023-10-30,Aleksander Barkov,20231030FLA@BOS,Sam Reinhart,Niko Mikkola,373
2023103019:47ANA7,ANA,3RD,19:47,2023-10-30,Mason McTavish,20231030ANA@PIT,Adam Henrique,None,3587
2023103003:01ANA6,ANA,3RD,03:01,2023-10-30,Mason McTavish,20231030ANA@PIT,Ryan Strome,Pavel Mintyukov,2581
2023103001:25PIT5,PIT,3RD,01:25,2023-10-30,Radim Zohorna,20231030ANA@PIT,Drew O'Connor,Lars Eller,2485
2023103019:25PIT4,PIT,2ND,19:25,2023-10-30,Evgeni Malkin,20231030ANA@PIT,Erik Karlsson,Sidney Crosby,2365
2023103011:51ANA3,ANA,2ND,11:51,2023-10-30,Frank Vatrano,20231030ANA@PIT,Cam Fowler,Mason McTavish,1911
2023103008:28ANA2,ANA,1ST,08:28,2023-10-30,Jakob Silfverberg,20231030ANA@PIT,Max Jones,Pavel Mintyukov,508
2023103002:55PIT1,PIT,1ST,02:55,2023-10-30,Erik Karlsson,20231030ANA@PIT,Evgeni Malkin,Reilly Smith,175
2023103002:53SEA7,SEA,OVE,02:53,2023-10-30,Jared McCann,20231030SEA@TB,Vince Dunn,Oliver Bjorkstrand,3773
2023103014:32TB6,TB,3RD,14:32,2023-10-30,Brandon Hagel,20231030SEA@TB,Anthony Cirelli,Alex Barre-Boulet,3272
2023103003:40TB5,TB,2ND,03:40,2023-10-30,Alex Barre-Boulet,20231030SEA@TB,Brandon Hagel,Tanner Jeannot,1420
2023103015:52SEA4,SEA,1ST,15:52,2023-10-30,Kailer Yamamoto,20231030SEA@TB,Jaden Schwartz,Eeli Tolvanen,952
2023103013:37TB3,TB,1ST,13:37,2023-10-30,Tanner Jeannot,20231030SEA@TB,Haydn Fleury,Darren Raddysh,817
2023103013:08SEA2,SEA,1ST,13:08,2023-10-30,Yanni Gourde,20231030SEA@TB,Kailer Yamamoto,Jared McCann,788
2023103012:08SEA1,SEA,1ST,12:08,2023-10-30,Brian Dumoulin,20231030SEA@TB,Justin Schultz,Jaden Schwartz,728
2023103001:25DET7,DET,OVE,01:25,2023-10-30,Lucas Raymond,20231030DET@NYI,J.T. Compher,None,3685
2023103015:49NYI6,NYI,3RD,15:49,2023-10-30,Bo Horvat,20231030DET@NYI,Mathew Barzal,Noah Dobson,3349
2023103011:43DET5,DET,3RD,11:43,2023-10-30,J.T. Compher,20231030DET@NYI,Moritz Seider,Andrew Copp,3103
2023103009:35DET4,DET,3RD,09:35,2023-10-30,Jake Walman,20231030DET@NYI,Moritz Seider,Lucas Raymond,2975
2023103007:55DET3,DET,3RD,07:55,2023-10-30,Daniel Sprong,20231030DET@NYI,Michael Rasmussen,Jake Walman,2875
2023103001:05NYI2,NYI,3RD,01:05,2023-10-30,Noah Dobson,20231030DET@NYI,Pierre Engvall,None,2465
2023103018:39NYI1,NYI,2ND,18:39,2023-10-30,Casey Cizikas,20231030DET@NYI,Bo Horvat,None,2319
2023103004:34NYR5,NYR,OVE,04:34,2023-10-30,Mika Zibanejad,20231030NYR@WPG,Artemi Panarin,K'Andre Miller,3874
2023103013:12NYR4,NYR,3RD,13:12,2023-10-30,Chris Kreider,20231030NYR@WPG,Adam Fox,Artemi Panarin,3192
2023103005:08WPG3,WPG,3RD,05:08,2023-10-30,Nikolaj Ehlers,20231030NYR@WPG,Cole Perfetti,Mark Scheifele,2708
2023103019:32WPG2,WPG,1ST,19:32,2023-10-30,David Gustafsson,20231030NYR@WPG,Cole Perfetti,None,1172
2023103018:24NYR1,NYR,1ST,18:24,2023-10-30,Artemi Panarin,20231030NYR@WPG,Jacob Trouba,K'Andre Miller,1104
2023103017:10CLB8,CLB,3RD,17:10,2023-10-30,Sean Kuraly,20231030CLB@DAL,Ivan Provorov,Mathieu Olivier,3430
2023103016:21DAL7,DAL,3RD,16:21,2023-10-30,Wyatt Johnston,20231030CLB@DAL,Evgenii Dadonov,Jamie Benn,3381
2023103012:39DAL6,DAL,3RD,12:39,2023-10-30,Evgenii Dadonov,20231030CLB@DAL,Wyatt Johnston,Jamie Benn,3159
2023103002:49DAL5,DAL,3RD,02:49,2023-10-30,Matt Duchene,20231030CLB@DAL,Ryan Suter,Mason Marchment,2569
2023103005:52DAL4,DAL,2ND,05:52,2023-10-30,Roope Hintz,20231030CLB@DAL,Jason Robertson,Nils Lundkvist,1552
2023103013:41CLB3,CLB,1ST,13:41,2023-10-30,Damon Severson,20231030CLB@DAL,Adam Fantilli,Zach Werenski,821
2023103004:37CLB2,CLB,1ST,04:37,2023-10-30,Dmitri Voronkov,20231030CLB@DAL,None,None,277
2023103027.0DAL1,DAL,1ST,00:27,2023-10-30,Thomas Harley,20231030CLB@DAL,Jason Robertson,Roope Hintz,27
2023103010:37ARI9,ARI,3RD,10:37,2023-10-30,Jack McBain,20231030CHI@ARI,Alexander Kerfoot,None,3037
2023103015:26ARI8,ARI,2ND,15:26,2023-10-30,Liam O'Brien,20231030CHI@ARI,None,None,2126
2023103011:18ARI7,ARI,2ND,11:18,2023-10-30,Sean Durzi,20231030CHI@ARI,Michael Carcone,Travis Boyd,1878
2023103006:38ARI6,ARI,2ND,06:38,2023-10-30,Jack McBain,20231030CHI@ARI,Alexander Kerfoot,Liam O'Brien,1598
2023103005:00ARI5,ARI,2ND,05:00,2023-10-30,Michael Carcone,20231030CHI@ARI,Travis Boyd,None,1500
2023103015:55ARI4,ARI,1ST,15:55,2023-10-30,Michael Carcone,20231030CHI@ARI,Lawson Crouse,Nick Bjugstad,955
2023103013:53ARI3,ARI,1ST,13:53,2023-10-30,Josh Brown,20231030CHI@ARI,Jack McBain,Alexander Kerfoot,833
2023103002:23ARI2,ARI,1ST,02:23,2023-10-30,Michael Carcone,20231030CHI@ARI,Logan Cooley,Sean Durzi,143
2023103028.0CHI1,CHI,1ST,00:28,2023-10-30,Connor Bedard,20231030CHI@ARI,Kevin Korchinski,Seth Jones,28
2023103112:13LA5,LA,3RD,12:13,2023-10-31,Adrian Kempe,20231031LA@TOR,Anze Kopitar,Quinton Byfield,3133
2023103108:25TOR4,TOR,3RD,08:25,2023-10-31,John Tavares,20231031LA@TOR,Mitchell Marner,William Nylander,2905
2023103109:46LA3,LA,2ND,09:46,2023-10-31,Arthur Kaliyev,20231031LA@TOR,Kevin Fiala,Quinton Byfield,1786
2023103111:40LA2,LA,1ST,11:40,2023-10-31,Phillip Danault,20231031LA@TOR,Trevor Moore,Jordan Spence,700
2023103106:38LA1,LA,1ST,06:38,2023-10-31,Andreas Englund,20231031LA@TOR,Pierre-Luc Dubois,None,398
2023103117:02VAN7,VAN,3RD,17:02,2023-10-31,Elias Pettersson,20231031NSH@VAN,Anthony Beauvillier,Tyler Myers,3422
2023103104:11VAN6,VAN,3RD,04:11,2023-10-31,J.T. Miller,20231031NSH@VAN,Brock Boeser,Quinn Hughes,2651
2023103116:38VAN5,VAN,2ND,16:38,2023-10-31,Elias Pettersson,20231031NSH@VAN,Andrei Kuzmenko,Filip Hronek,2198
2023103153.0VAN4,VAN,2ND,00:53,2023-10-31,Elias Pettersson,20231031NSH@VAN,Quinn Hughes,Ilya Mikheyev,1253
2023103116:40NSH3,NSH,1ST,16:40,2023-10-31,Dante Fabbro,20231031NSH@VAN,Filip Forsberg,Ryan O'Reilly,1000
2023103116:10NSH2,NSH,1ST,16:10,2023-10-31,Colton Sissons,20231031NSH@VAN,Roman Josi,Liam Foudy,970
2023103113:45VAN1,VAN,1ST,13:45,2023-10-31,Sam Lafferty,20231031NSH@VAN,None,None,825
